 Date__(UT)__HR:MN, , ,            delta,     deldot,  Tru_Anom,
****************************************************************
$$SOE
 2022-Jan-06 12:00, , , 34.2090616508912,-10.3571599,  179.4025,
 2022-Jan-06 13:00, , , 34.2088126558333,-10.3368183,  179.4026,
 2022-Jan-06 14:00, , , 34.2085641503516,-10.3164713,  179.4026,
 2022-Jan-06 15:00, , , 34.2083161345767,-10.2961188,  179.4026,
 2022-Jan-06 16:00, , , 34.2080686086389,-10.2757609,  179.4027,
 2022-Jan-06 17:00, , , 34.2078215726680,-10.2553976,  179.4027,
 2022-Jan-06 18:00, , , 34.2075750267933,-10.2350290,  179.4027,
 2022-Jan-06 19:00, , , 34.2073289711435,-10.2146550,  179.4028,
 2022-Jan-06 20:00, , , 34.2070834058471,-10.1942757,  179.4028,
 2022-Jan-06 21:00, , , 34.2068383310320,-10.1738911,  179.4028,
 2022-Jan-06 22:00, , , 34.2065937468256,-10.1535013,  179.4029,
 2022-Jan-06 23:00, , , 34.2063496533550,-10.1331061,  179.4029,
 2022-Jan-07 00:00, , , 34.2061060507466,-10.1127057,  179.4029,
 2022-Jan-07 01:00, , , 34.2058629391268,-10.0923001,  179.4030,
 2022-Jan-07 02:00, , , 34.2056203186211,-10.0718892,  179.4030,
 2022-Jan-07 03:00, , , 34.2053781893548,-10.0514732,  179.4030,
 2022-Jan-07 04:00, , , 34.2051365514528,-10.0310519,  179.4031,
 2022-Jan-07 05:00, , , 34.2048954050394,-10.0106255,  179.4031,
 2022-Jan-07 06:00, , , 34.2046547502385, -9.9901940,  179.4032,
 2022-Jan-07 07:00, , , 34.2044145871739, -9.9697573,  179.4032,
 2022-Jan-07 08:00, , , 34.2041749159686, -9.9493156,  179.4032,
 2022-Jan-07 09:00, , , 34.2039357367453, -9.9288687,  179.4033,
 2022-Jan-07 10:00, , , 34.2036970496263, -9.9084168,  179.4033,
 2022-Jan-07 11:00, , , 34.2034588547335, -9.8879598,  179.4033,
 2022-Jan-07 12:00, , , 34.2032211521885, -9.8674978,  179.4034,
 2022-Jan-07 13:00, , , 34.2029839421124, -9.8470307,  179.4034,
 2022-Jan-07 14:00, , , 34.2027472246257, -9.8265587,  179.4034,
 2022-Jan-07 15:00, , , 34.2025109998489, -9.8060816,  179.4035,
 2022-Jan-07 16:00, , , 34.2022752679019, -9.7855996,  179.4035,
 2022-Jan-07 17:00, , , 34.2020400289041, -9.7651126,  179.4035,
 2022-Jan-07 18:00, , , 34.2018052829748, -9.7446207,  179.4036,
 2022-Jan-07 19:00, , , 34.2015710302326, -9.7241238,  179.4036,
 2022-Jan-07 20:00, , , 34.2013372707959, -9.7036221,  179.4037,
 2022-Jan-07 21:00, , , 34.2011040047827, -9.6831154,  179.4037,
 2022-Jan-07 22:00, , , 34.2008712323106, -9.6626039,  179.4037,
 2022-Jan-07 23:00, , , 34.2006389534969, -9.6420874,  179.4038,
 2022-Jan-08 00:00, , , 34.2004071684585, -9.6215662,  179.4038,
 2022-Jan-08 01:00, , , 34.2001758773118, -9.6010401,  179.4038,
 2022-Jan-08 02:00, , , 34.1999450801729, -9.5805092,  179.4039,
 2022-Jan-08 03:00, , , 34.1997147771578, -9.5599735,  179.4039,
 2022-Jan-08 04:00, , , 34.1994849683817, -9.5394330,  179.4039,
 2022-Jan-08 05:00, , , 34.1992556539597, -9.5188877,  179.4040,
 2022-Jan-08 06:00, , , 34.1990268340065, -9.4983377,  179.4040,
 2022-Jan-08 07:00, , , 34.1987985086366, -9.4777829,  179.4040,
 2022-Jan-08 08:00, , , 34.1985706779638, -9.4572234,  179.4041,
 2022-Jan-08 09:00, , , 34.1983433421018, -9.4366592,  179.4041,
 2022-Jan-08 10:00, , , 34.1981165011641, -9.4160903,  179.4041,
 2022-Jan-08 11:00, , , 34.1978901552633, -9.3955167,  179.4042,
 2022-Jan-08 12:00, , , 34.1976643045123, -9.3749384,  179.4042,
 2022-Jan-08 13:00, , , 34.1974389490233, -9.3543554,  179.4043,
 2022-Jan-08 14:00, , , 34.1972140889082, -9.3337679,  179.4043,
 2022-Jan-08 15:00, , , 34.1969897242787, -9.3131756,  179.4043,
 2022-Jan-08 16:00, , , 34.1967658552460, -9.2925788,  179.4044,
 2022-Jan-08 17:00, , , 34.1965424819210, -9.2719774,  179.4044,
 2022-Jan-08 18:00, , , 34.1963196044144, -9.2513713,  179.4044,
 2022-Jan-08 19:00, , , 34.1960972228365, -9.2307607,  179.4045,
 2022-Jan-08 20:00, , , 34.1958753372972, -9.2101456,  179.4045,
 2022-Jan-08 21:00, , , 34.1956539479062, -9.1895259,  179.4045,
 2022-Jan-08 22:00, , , 34.1954330547727, -9.1689016,  179.4046,
 2022-Jan-08 23:00, , , 34.1952126580057, -9.1482728,  179.4046,
 2022-Jan-09 00:00, , , 34.1949927577140, -9.1276396,  179.4046,
 2022-Jan-09 01:00, , , 34.1947733540059, -9.1070018,  179.4047,
 2022-Jan-09 02:00, , , 34.1945544469895, -9.0863595,  179.4047,
 2022-Jan-09 03:00, , , 34.1943360367724, -9.0657128,  179.4048,
 2022-Jan-09 04:00, , , 34.1941181234621, -9.0450616,  179.4048,
 2022-Jan-09 05:00, , , 34.1939007071656, -9.0244060,  179.4048,
 2022-Jan-09 06:00, , , 34.1936837879899, -9.0037459,  179.4049,
 2022-Jan-09 07:00, , , 34.1934673660414, -8.9830814,  179.4049,
 2022-Jan-09 08:00, , , 34.1932514414262, -8.9624125,  179.4049,
 2022-Jan-09 09:00, , , 34.1930360142503, -8.9417392,  179.4050,
